Day,ExerciseType,PreWorkoutHR,PostWorkoutHR,Duration,Intensity
1,Running,60,172,52,9
2,Bench,58,150,38,7
3,Pushups,62,165,45,8
4,Rows,59,155,35,7
5,Chest,61,168,50,9
6,Running,57,175,55,10
7,Rest,63,63,0,0
8,Rows,60,160,42,8
9,Pushups,56,170,48,9
10,Bench,59,148,36,7
11,Running,61,178,60,10
12,Chest,58,162,44,8
13,Rest,64,64,0,0
14,Pushups,55,168,47,9
15,Rows,60,158,40,7
16,Running,62,176,58,10
17,Bench,57,150,34,7
18,Chest,59,165,46,8
19,Running,58,172,53,9
20,Rest,63,63,0,0
21,Pushups,61,168,49,7
